task_id,statement
IN050,John Wayne's real name was Jonathan Walter Miller.
IN100,The first windmills were built in Persia.
IN127,The Congo has the largest water flow rate of any river in Africa.
IN125,The name BenQ stands for 'Bringing Enjoyment and Quality to Life'
IN115,'The Rite of Spring' is a piece of music by Igor Stravinsky.
IN124,The exosphere is the uppermost layer of the Earth's atmosphere.
IN121,Nauru is the smallest sovereign republic on earth.
IN049,The first on-board computer for cars was developed in America.
IN126,Female ferrets can die from oestrogen poisoning if they are on heat and do not get pregnant.
IN110,The Wandering Spider native to South America is one of the three most poisonous species in the world.
IN108,"Jimi Hendrix was born November 27th, 1942 in Seattle, Washington."
IN058,Ultrasound consists of waves and vibrations below 16 Hertz.
IN116,Odin is a major god in most branches of Germanic mythology.
IN055,"A swan has about 50,000 feathers on its body."
IN098,"Blackberries, raspberries, and strawberries belong to the Rose family."
IN039,Gisele Bündchen has a twin brother.
IN099,"Mongols put salt, not sugar, in their tea."
IN036,The German boxer Henry Maske became world champion in the cruiserweight class.
IN056,All clocks in the film 'Pulp Fiction' are set to 4:10.
IN033,The all-wheel drive was invented in England in 1938.
IN097,Panarellos are steam wand adaptors on espresso machines.
IN105,Mount Waialeale in Hawaii is one of the rainiest spots on earth.
IN034,The first UN Secretary-General was Dag Hammarskjöld from Sweden.
IN117,Freddie Mercury's real name was Farrokh Bulsara.
IN113,The film 'Indecent Proposal' won the Golden Raspberry for worst film.
IN119,Pamela Anderson is a Canadian citizen.
IN128,The official language in Uganda is English.
IN052,Volleyball was invented in Florida.
IN104,The German rock band Tokio Hotel was previously called 'Devilish'.
IN064,A system crash on a Mac computer is indicated by a warning triangle.
IN046,Ephendios is the Greek god of agriculture.
IN042,Mehndi is the Indian word for Yoga Master.
IN060,The black alder belongs to the beech family.
IN051,The zero meridian runs through the London Borough of Kingston.
IN103,A housefly has a maximum lifespan of 70 days.
IN061,The Capybara is the largest of all marsupials.
IN112,The Battle of Zama marked the end of the Second Punic war.
IN041,The Cocos Islands belong to Indonesia.
IN035,The Prussian King Augustus I the Strong was nicknamed the Soldier King.
IN114,The first time Italy won the football World Cup was in 1934.
IN101,Herbert Blumer was the leading symbolic interactionist of his time.
IN047,"The last EU country to abolish the death penalty was Spain, in 1996."
IN122,The ad-Dahna Desert is in Saudi Arabia.
IN106,James Polk was president of the United States from 1845-1849.
IN063,Jean-Jacques Rousseau was a single father.
IN044,The Sea of Galilee is the lowest-lying body of standing water on Earth.
IN102,Semiotics is the philosophical theory of signs.
IN048,"Ibo, like Esperanto, is a made-up world language."
IN040,The sun's photosphere can only be observed through a coronagraph.
IN062,King Charles IV of France was nicknamed 'Charles the Evil'.
IN109,Three-coloured cats are almost always female.
IN043,The Lama temple is located in Shanghai.
IN045,The Castle-Taubig Thesis makes predictions about the capacity of a calculating machine.
IN038,Richard Gere and Cindy Crawford got married in Mexico.
IN054,The world's tallest tree is a spruce.
IN120,Tokyo is the world's most populous city.
IN123,A polo game is divided into periods of 7.5 minutes called 'chukkas'.
IN107,The Battle of Trafalgar (21 October 1805) was part of the War of the Third Coalition.
IN037,'Au rendez-vous des amis' is a painting by August Macke.
IN111,Yasser Arafat fought in the Suez war for the Egyptian army.
IN118,The Swedes were the first to introduce cartons instead of milk bottles.
IN053,The act of comparison with something impossible is called 'an aberration'.
IN059,Every odd number greater than two can be the sum of two prime numbers.
IN057,Lake Segozero in Russia is the largest lake in Europe.
TR007,The capital of Madagascar is Toamasina.
TR001,The natural red dye in the shells of crustaceans is called xanthophyll.
TR071,The mathematician Leonhard Euler's Latin squares were the earliest precursors to Sudoku.
TR037,'Au rendez-vous des amis' is a painting by August Macke.
TR065,The peace treaty ending the Franco-German War was signed in Frankfurt.
TR004,The air pump is a French invention.
TR070,The Yukon is the third longest river in the United States.
TR098,"Blackberries, raspberries, and strawberries belong to the Rose family."
TR008,Valparaiso is one of Angola's biggest cities.
TR038,Richard Gere and Cindy Crawford got married in Mexico.
TR103,A housefly has a maximum lifespan of 70 days.
TR034,The first UN Secretary-General was Dag Hammarskjöld from Sweden.
TR002,Sac fungi belong to the Protista family.
TR069,Tigers not only have striped fur but also striped skin.
TR003,The fourth man on the moon was Charles P. Conrad.
TR039,Gisele Bündchen has a twin brother.
TR099,"Mongols put salt, not sugar, in their tea."
TR036,The German boxer Henry Maske became world champion in the cruiserweight class.
TR067,"In men, excessive sex drive is not called nymphomania, but satyriasis."
TR068,Alberto Fujimori served as president of Peru from 1990 − 2000.
TR066,Canada has the world's longest coastline.
TR040,The sun's photosphere can only be observed through a coronagraph.
TR102,Semiotics is the philosophical theory of signs.
TR072,The band 'Oasis' named itself after a leisure centre.
TR100,The first windmills were built in Persia.
TR104,The German rock band Tokio Hotel was previously called 'Devilish'.
TR005,A galactic year takes 2500 terrestrial years.
TR033,The all-wheel drive was invented in England in 1938.
TR101,Herbert Blumer was the leading symbolic interactionist of his time.
TR035,The Prussian King Augustus I the Strong was nicknamed the Soldier King.
TR097,Panarellos are steam wand adaptors on espresso machines.
TR006,Socrates was Alexander the Great's teacher.
